ticker,group,date,ao,ac,acBottomDepth,entryPrice,return4W,return8W,return12W,maxDrawdown12W,aoLagWeeks
XLP,Defensive,2023-09-22,-1.8892,-1.0925,0.0179,65.55,-4.09,-0.93,1.57,-5.08,
XLP,Defensive,2023-10-27,-5.4887,-1.4288,0.1197,62.23,5.75,7.77,9.03,-1.18,11
XLP,Defensive,2025-01-24,-2.2064,-1.8580,0.1172,75.41,5.49,1.84,5.65,-5.06,5
XLP,Defensive,2025-04-17,-0.9236,-0.8834,0.2800,79.67,0.24,-1.11,-0.62,-2.26,4
XLP,Defensive,2025-10-10,-1.9800,-1.1776,0.1039,77.04,-1.78,0.46,0.28,-4.33,
XLP,Defensive,2025-12-05,-2.7411,-0.0536,1.1240,77.40,-0.18,7.29,15.64,-1.81,8
XLE,Cyclical,2000-12-22,-0.0003,-0.4342,0.2121,8.13,-4.34,3.19,-1.42,-7.77,2
XLE,Cyclical,2001-04-12,-1.0842,-0.8341,0.0114,8.07,3.51,3.57,-3.56,-12.08,4
XLE,Cyclical,2001-07-27,-2.0834,-1.0714,0.1920,7.77,-2.31,-16.82,-10.61,-16.82,
XLE,Cyclical,2001-10-12,-3.9212,-0.6611,0.2481,7.29,-3.39,-8.23,-6.15,-11.34,
XLE,Cyclical,2001-11-30,-3.5714,-0.0527,0.8564,6.53,6.90,3.14,4.84,-7.78,
XLE,Cyclical,2002-07-12,-1.0534,-0.6991,0.0095,6.15,-4.33,-5.17,-8.88,-10.90,
XLE,Cyclical,2002-08-16,-4.3594,-1.1815,0.3555,6.08,-4.03,-8.17,-5.71,-8.22,
XLE,Cyclical,2002-10-18,-3.6054,-0.1927,0.2552,5.94,-3.31,1.06,-1.90,-3.89,
XLE,Cyclical,2003-02-07,-0.5967,-0.0930,0.0176,5.71,4.44,4.02,4.95,-3.54,4
XLE,Cyclical,2006-10-06,-2.2299,-1.8767,0.0268,14.73,7.42,15.24,11.61,-3.97,6
XLE,Cyclical,2008-02-15,-2.5403,-3.1380,0.5534,20.65,2.62,6.69,16.70,-6.62,3
XLE,Cyclical,2008-08-15,-3.8750,-4.7535,0.3285,20.18,-2.77,-39.79,-29.38,-42.98,
XLE,Cyclical,2008-11-07,-25.7384,-5.8704,1.1926,14.25,-11.41,1.12,-5.39,-12.17,
XLE,Cyclical,2010-06-11,-3.4729,-2.4518,0.4580,15.99,-2.69,2.89,0.23,-11.20,
XLE,Cyclical,2010-07-30,-3.8518,-0.1194,2.7904,15.92,-3.23,3.13,10.65,-6.36,11
XLE,Cyclical,2010-09-17,-2.0416,-0.0529,0.1576,16.01,9.87,16.79,22.29,-1.70,4
XLE,Cyclical,2011-09-09,-8.2358,-3.3736,1.0339,19.50,-5.78,10.25,8.95,-12.79,
XLE,Cyclical,2011-10-14,-10.2498,-1.1385,3.2690,20.09,8.50,5.39,6.21,-12.61,
XLE,Cyclical,2012-06-15,-5.3396,-1.8919,0.4418,20.05,1.75,10.29,11.93,-3.32,9
XLE,Cyclical,2014-10-24,-6.8536,-4.3340,0.0687,27.30,3.39,-5.31,-11.58,-16.36,
XLE,Cyclical,2015-01-02,-12.5448,-1.8789,0.6765,25.51,-5.00,-0.64,-3.29,-9.03,
XLE,Cyclical,2015-06-26,-1.7967,-1.1309,0.0682,24.74,-8.64,-16.54,-16.43,-16.71,
XLE,Cyclical,2015-08-14,-6.8515,-1.7869,0.1362,22.54,-8.61,0.18,1.43,-9.37,
XLE,Cyclical,2015-09-04,-9.6275,-1.7295,0.2911,20.74,0.85,7.45,7.04,-5.47,
XLE,Cyclical,2016-01-15,-8.6982,-1.5671,0.0843,17.97,1.71,14.74,15.57,-5.03,
XLE,Cyclical,2017-03-31,-1.3621,-1.2321,0.3374,23.83,-2.95,-4.71,-7.27,-7.88,
XLE,Cyclical,2017-05-26,-3.7889,-0.7187,0.5134,22.71,-2.69,-1.59,-5.81,-6.24,
XLE,Cyclical,2017-06-09,-4.3082,-0.5130,0.3432,22.65,-2.98,-0.51,-3.63,-6.24,
XLE,Cyclical,2017-07-07,-5.3066,-0.4451,0.4110,21.97,2.55,-0.67,8.39,-6.24,
XLE,Cyclical,2018-03-09,-0.6647,-3.5503,0.1339,23.97,-0.91,8.65,12.37,-4.52,7
XLE,Cyclical,2018-11-23,-6.1754,-3.0653,0.2194,22.85,-11.38,0.83,4.44,-14.32,
XLE,Cyclical,2019-01-11,-11.7146,-1.7265,1.5582,22.38,1.50,3.05,9.89,-3.84,
XLE,Cyclical,2019-06-07,-2.3271,-1.2871,0.0123,22.28,3.90,-0.53,-5.33,-13.16,
XLE,Cyclical,2019-09-06,-5.5125,-1.9803,0.3760,21.66,-1.91,1.34,0.67,-6.94,
XLE,Cyclical,2020-02-21,-4.2435,-1.8274,0.1904,20.85,-52.24,-35.79,-31.93,-52.24,
XLE,Cyclical,2020-04-03,-22.1039,-7.3923,0.4324,11.76,20.18,29.94,23.96,-17.54,
XLE,Cyclical,2020-07-24,-7.1111,-0.3367,0.1503,14.98,-3.95,-10.40,-18.15,-21.95,
XLE,Cyclical,2020-10-09,-4.8331,-0.8514,0.0379,12.51,-6.04,31.96,24.77,-6.72,9
XLE,Cyclical,2022-07-22,-0.0333,-6.8047,1.1396,31.28,11.68,10.25,14.06,-13.99,3
XLE,Cyclical,2023-03-31,-2.4057,-2.8189,0.5641,37.57,2.78,-4.90,-5.76,-10.52,
XLE,Cyclical,2023-06-09,-6.0083,-1.8570,0.9671,36.89,0.23,7.84,12.57,-4.02,9
XLE,Cyclical,2023-12-01,-0.2237,-1.7810,0.5075,39.20,-0.45,0.04,2.07,-5.66,
XLE,Cyclical,2024-02-02,-2.4052,-0.8919,0.5304,38.87,4.33,13.95,15.55,-3.17,6
XLE,Cyclical,2024-02-16,-2.6623,-0.3768,0.5527,39.83,7.00,13.25,10.54,-5.62,4
XLE,Cyclical,2024-08-30,-0.1450,-0.8277,0.3754,43.16,-3.70,-0.85,7.43,-6.23,12
XLE,Cyclical,2024-09-20,-1.9432,-1.0599,0.1100,41.97,2.61,7.60,1.34,-8.28,9
XLE,Cyclical,2024-10-04,-2.8863,-0.9230,0.2469,44.42,-5.53,2.52,-8.49,-13.50,7
XLE,Cyclical,2025-01-10,-3.1539,-2.8974,0.4491,42.49,0.19,-1.09,-10.21,-15.53,4
XLE,Cyclical,2025-03-14,-0.3599,-0.3192,1.1510,43.15,-11.43,-7.46,-6.36,-14.79,2
XLE,Cyclical,2025-05-09,-8.2287,-3.0588,0.6483,39.93,1.19,6.46,4.70,-4.62,12
XLE,Cyclical,2026-01-09,-35.3121,-12.2633,3.5198,46.37,14.10,21.21,27.78,-5.29,
XLI,Cyclical,2001-04-12,-3.1655,-1.1126,0.0988,17.56,8.04,10.27,3.38,-9.88,6
XLI,Cyclical,2001-07-20,-0.6335,-0.6493,0.1243,18.48,-3.01,-9.57,-13.97,-25.57,
XLI,Cyclical,2001-10-12,-4.0245,-1.1845,0.2364,15.90,3.03,8.50,10.95,-3.20,
XLI,Cyclical,2002-02-22,-1.1790,-0.3721,0.2453,16.45,5.69,2.74,1.92,-11.82,3
XLI,Cyclical,2002-05-24,-0.6429,-0.5880,0.0790,16.57,-8.48,-20.11,-13.54,-20.11,
XLI,Cyclical,2002-07-12,-2.4164,-0.6759,0.0616,14.31,0.81,-3.89,-14.67,-15.84,
